timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1604068709798,2469,Gazeta.pl main page,200,OK,Gazeta.pl users 1-5,text,true,,668313,238,5,5,"https://www.gazeta.pl/0,0.html",152,0,0
1604068709798,152,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-5,text,true,,457,115,5,5,http://www.gazeta.pl/,152,0,0
1604068709950,2317,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-5,text,true,,667856,123,5,5,"https://www.gazeta.pl/0,0.html",171,0,0
1604068710989,2251,Gazeta.pl main page,200,OK,Gazeta.pl users 1-2,text,true,,665313,238,5,5,"https://www.gazeta.pl/0,0.html",125,0,0
1604068710989,125,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-2,text,true,,457,115,5,5,http://www.gazeta.pl/,125,0,0
1604068711114,2126,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-2,text,true,,664856,123,5,5,"https://www.gazeta.pl/0,0.html",177,0,0
1604068710175,3376,Gazeta.pl main page,200,OK,Gazeta.pl users 1-3,text,true,,665313,238,5,5,"https://www.gazeta.pl/0,0.html",137,0,0
1604068710175,137,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-3,text,true,,457,115,5,5,http://www.gazeta.pl/,137,0,0
1604068710312,3239,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-3,text,true,,664856,123,5,5,"https://www.gazeta.pl/0,0.html",274,0,0
1604068711500,2508,Gazeta.pl main page,200,OK,Gazeta.pl users 1-1,text,true,,670368,238,5,5,"https://www.gazeta.pl/0,0.html",171,0,0
1604068711500,172,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-1,text,true,,457,115,5,5,http://www.gazeta.pl/,171,0,0
1604068711673,2335,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-1,text,true,,669911,123,5,5,"https://www.gazeta.pl/0,0.html",140,0,0
1604068712189,2309,Gazeta.pl main page,200,OK,Gazeta.pl users 1-4,text,true,,668313,238,5,5,"https://www.gazeta.pl/0,0.html",116,0,0
1604068712189,116,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-4,text,true,,457,115,5,5,http://www.gazeta.pl/,116,0,0
1604068712305,2193,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-4,text,true,,667856,123,5,5,"https://www.gazeta.pl/0,0.html",128,0,0
1604068712269,2469,Gazeta.pl main page,200,OK,Gazeta.pl users 1-5,text,true,,665313,238,5,5,"https://www.gazeta.pl/0,0.html",117,0,0
1604068712269,117,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-5,text,true,,457,115,5,5,http://www.gazeta.pl/,117,0,0
1604068712386,2352,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-5,text,true,,664856,123,5,5,"https://www.gazeta.pl/0,0.html",258,0,0
1604068713242,1960,Gazeta.pl main page,200,OK,Gazeta.pl users 1-2,text,true,,665313,238,5,5,"https://www.gazeta.pl/0,0.html",83,0,0
1604068713242,83,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-2,text,true,,457,115,5,5,http://www.gazeta.pl/,83,0,0
1604068713325,1877,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-2,text,true,,664856,123,5,5,"https://www.gazeta.pl/0,0.html",173,0,0
1604068713553,3020,Gazeta.pl main page,200,OK,Gazeta.pl users 1-3,text,true,,668313,238,5,5,"https://www.gazeta.pl/0,0.html",81,0,0
1604068713553,81,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-3,text,true,,457,115,5,5,http://www.gazeta.pl/,81,0,0
1604068713634,2939,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-3,text,true,,667856,123,5,5,"https://www.gazeta.pl/0,0.html",221,0,0
1604068714009,2585,Gazeta.pl main page,200,OK,Gazeta.pl users 1-1,text,true,,665313,238,5,5,"https://www.gazeta.pl/0,0.html",130,0,0
1604068714009,130,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-1,text,true,,457,115,5,5,http://www.gazeta.pl/,130,0,0
